Code,Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,67.10,59.14,60.47,61.91,59.73,61.26,59.16,57.98,59.67,61.72,68.16,75.79,76.98,79.65,85.33,91.34,97.88,103.19,101.20,97.63,96.86,97.90,74.62,66.02
E09000002,Barking and Dagenham,0.56,0.52,0.50,0.53,0.51,0.51,0.49,0.49,0.48,0.42,0.44,0.45,0.45,0.44,0.46,0.47,0.47,0.48,0.47,0.47,0.50,0.50,0.52,0.46
E09000003,Barnet,0.67,0.65,0.64,0.65,0.63,0.63,0.63,0.62,0.63,0.63,0.61,0.62,0.65,0.66,0.68,0.68,0.67,0.70,0.67,0.65,0.64,0.70,0.66,0.63
E09000004,Bexley,0.55,0.54,0.57,0.55,0.61,0.57,0.52,0.52,0.51,0.50,0.53,0.53,0.53,0.54,0.54,0.57,0.56,0.59,0.56,0.59,0.55,0.55,0.59,0.57
E09000005,Brent,0.67,0.62,0.62,0.65,0.65,0.64,0.58,0.57,0.54,0.53,0.54,0.53,0.56,0.56,0.57,0.58,0.63,0.66,0.66,0.64,0.63,0.62,0.62,0.64
E09000006,Bromley,0.62,0.61,0.63,0.67,0.67,0.66,0.66,0.71,0.67,0.61,0.61,0.61,0.61,0.64,0.63,0.60,0.65,0.65,0.61,0.64,0.62,0.60,0.66,0.63
E09000007,Camden,2.05,1.98,1.92,1.86,1.82,1.88,1.80,1.90,2.00,1.99,1.97,2.06,2.16,2.22,2.37,2.40,2.46,2.52,2.55,2.55,2.50,2.72,2.71,2.71
E09000008,Croydon,0.73,0.71,0.68,0.69,0.69,0.67,0.66,0.67,0.63,0.57,0.58,0.56,0.58,0.53,0.57,0.58,0.59,0.62,0.59,0.56,0.56,0.55,0.59,0.57
E09000009,Ealing,0.64,0.63,0.62,0.64,0.63,0.63,0.62,0.63,0.58,0.56,0.55,0.63,0.62,0.63,0.66,0.66,0.68,0.68,0.60,0.63,0.64,0.63,0.63,0.65
E09000010,Enfield,0.63,0.61,0.57,0.60,0.59,0.62,0.56,0.57,0.57,0.54,0.56,0.54,0.57,0.57,0.60,0.62,0.60,0.59,0.62,0.63,0.59,0.58,0.61,0.63
E09000011,Greenwich,0.60,0.50,0.50,0.51,0.50,0.52,0.51,0.51,0.50,0.49,0.49,0.47,0.46,0.48,0.52,0.51,0.51,0.53,0.54,0.54,0.51,0.51,0.53,0.51
E09000012,Hackney,0.75,0.77,0.75,0.68,0.65,0.63,0.57,0.60,0.59,0.60,0.58,0.63,0.62,0.60,0.70,0.72,0.75,0.73,0.78,0.81,0.79,0.92,0.95,1.03
E09000013,Hammersmith and Fulham,1.00,0.98,0.94,0.99,1.01,1.05,1.02,1.02,1.02,0.98,1.03,1.03,1.07,1.01,1.07,1.10,1.13,1.14,1.10,1.14,1.19,1.12,1.16,1.17
E09000014,Haringey,0.48,0.48,0.47,0.49,0.49,0.52,0.50,0.49,0.45,0.42,0.40,0.41,0.44,0.44,0.47,0.48,0.46,0.47,0.47,0.45,0.49,0.49,0.58,0.52
E09000015,Harrow,0.59,0.58,0.57,0.59,0.57,0.56,0.56,0.55,0.50,0.50,0.50,0.48,0.50,0.48,0.54,0.53,0.55,0.58,0.54,0.53,0.53,0.50,0.54,0.58
E09000016,Havering,0.63,0.63,0.65,0.66,0.65,0.63,0.60,0.56,0.59,0.54,0.55,0.55,0.56,0.60,0.59,0.60,0.63,0.64,0.64,0.60,0.59,0.64,0.67,0.63
E09000017,Hillingdon,1.11,1.16,1.13,1.12,1.20,1.18,1.20,1.19,1.19,1.12,1.08,1.11,1.15,1.13,1.15,1.05,1.04,1.10,1.05,1.03,1.03,1.01,1.07,0.98
E09000018,Hounslow,1.00,1.02,0.91,0.91,0.86,0.90,0.83,0.84,0.83,0.82,0.83,0.85,0.89,0.92,0.88,0.99,1.04,0.98,0.92,0.95,0.86,0.86,0.91,0.90
E09000019,Islington,1.36,1.30,1.29,1.35,1.35,1.42,1.32,1.43,1.44,1.40,1.32,1.29,1.31,1.37,1.42,1.51,1.50,1.47,1.52,1.56,1.48,1.63,1.67,1.67
E09000020,Kensington and Chelsea,1.31,1.26,1.17,1.11,1.09,1.09,1.09,1.08,1.10,1.10,1.11,1.20,1.27,1.26,1.26,1.34,1.41,1.56,1.55,1.55,1.44,1.53,1.53,1.45
E09000021,Kingston upon Thames,0.85,0.80,0.77,0.77,0.81,0.78,0.92,0.80,0.80,0.78,0.78,0.73,0.73,0.72,0.74,0.84,0.88,0.89,0.86,0.81,0.79,0.80,0.82,0.82
E09000022,Lambeth,0.73,0.66,0.69,0.71,0.72,0.69,0.67,0.66,0.66,0.69,0.68,0.66,0.66,0.72,0.75,0.76,0.71,0.76,0.71,0.73,0.71,0.73,0.80,0.75
E09000023,Lewisham,0.44,0.43,0.45,0.46,0.46,0.45,0.41,0.41,0.41,0.40,0.38,0.39,0.40,0.41,0.43,0.40,0.40,0.41,0.39,0.40,0.39,0.42,0.45,0.43
E09000024,Merton,0.66,0.62,0.59,0.60,0.70,0.65,0.60,0.58,0.60,0.58,0.57,0.62,0.63,0.67,0.67,0.67,0.64,0.71,0.72,0.68,0.66,0.63,0.63,0.73
E09000025,Newham,0.50,0.48,0.43,0.45,0.47,0.49,0.46,0.44,0.41,0.41,0.38,0.41,0.44,0.47,0.49,0.49,0.53,0.53,0.57,0.53,0.55,0.58,0.62,0.60
E09000026,Redbridge,0.53,0.52,0.52,0.52,0.52,0.51,0.44,0.46,0.48,0.45,0.43,0.42,0.47,0.44,0.46,0.47,0.47,0.49,0.45,0.47,0.44,0.46,0.47,0.48
E09000027,Richmond upon Thames,0.70,0.72,0.67,0.70,0.66,0.70,0.67,0.72,0.73,0.68,0.68,0.76,0.73,0.75,0.75,0.81,0.86,0.84,0.88,0.81,0.79,0.78,0.81,0.75
E09000028,Southwark,1.05,1.06,0.92,0.99,1.07,1.08,1.09,1.13,1.22,1.15,1.09,1.16,1.25,1.16,1.27,1.28,1.35,1.39,1.43,1.37,1.33,1.32,1.44,1.53
E09000029,Sutton,0.67,0.65,0.62,0.61,0.62,0.60,0.59,0.59,0.66,0.58,0.59,0.62,0.62,0.60,0.60,0.62,0.64,0.65,0.59,0.63,0.61,0.71,0.79,0.63
E09000030,Tower Hamlets,1.15,1.21,1.12,1.13,1.30,1.31,1.31,1.30,1.30,1.23,1.22,1.32,1.30,1.34,1.35,1.41,1.40,1.44,1.48,1.48,1.39,1.31,1.34,1.46
E09000031,Waltham Forest,0.50,0.46,0.46,0.46,0.46,0.50,0.44,0.42,0.41,0.41,0.38,0.40,0.43,0.44,0.45,0.45,0.45,0.46,0.45,0.47,0.44,0.43,0.50,0.59
E09000032,Wandsworth,0.65,0.61,0.62,0.62,0.61,0.59,0.59,0.59,0.59,0.56,0.52,0.55,0.59,0.57,0.56,0.60,0.61,0.62,0.60,0.62,0.59,0.61,0.63,0.61
E09000033,Westminster,4.23,4.03,3.82,3.81,3.68,3.61,3.56,3.73,3.89,3.95,4.00,4.16,4.32,4.53,4.68,4.74,4.86,4.86,5.02,5.21,4.90,5.23,5.31,5.33
,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.66,0.66,0.68,0.68,0.68,0.72,0.70,0.69,0.69,0.67,0.66,0.67,0.67,0.68,0.70,0.72,0.71,0.74,0.74,0.75,0.72,0.75,0.73,0.74
E12000002,North West,0.75,0.76,0.77,0.77,0.78,0.76,0.76,0.76,0.75,0.74,0.73,0.74,0.75,0.77,0.78,0.80,0.82,0.83,0.83,0.85,0.82,0.83,0.83,0.83
E12000003,Yorkshire and The Humber,0.75,0.76,0.77,0.78,0.78,0.78,0.76,0.76,0.76,0.74,0.74,0.74,0.73,0.74,0.76,0.79,0.80,0.81,0.81,0.82,0.79,0.81,0.82,0.82
E12000004,East Midlands,0.75,0.75,0.75,0.75,0.75,0.76,0.75,0.77,0.75,0.73,0.74,0.75,0.75,0.75,0.76,0.78,0.81,0.80,0.79,0.81,0.79,0.79,0.80,0.79
E12000005,West Midlands,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.77,0.76,0.73,0.73,0.74,0.75,0.76,0.77,0.79,0.80,0.82,0.82,0.82,0.80,0.81,0.82,0.82
E12000006,East,0.77,0.77,0.78,0.78,0.77,0.78,0.78,0.78,0.77,0.76,0.75,0.76,0.77,0.77,0.79,0.81,0.83,0.84,0.85,0.85,0.83,0.84,0.83,0.84
E12000007,London,0.95,0.92,0.89,0.90,0.91,0.91,0.88,0.89,0.89,0.86,0.86,0.89,0.91,0.92,0.95,0.98,1.00,1.02,1.01,1.02,0.98,1.01,1.06,1.07
E12000008,South East,0.84,0.84,0.85,0.83,0.83,0.84,0.81,0.82,0.81,0.79,0.80,0.81,0.81,0.82,0.84,0.86,0.88,0.86,0.87,0.89,0.85,0.85,0.86,0.86
E12000009,South West,0.81,0.82,0.83,0.83,0.83,0.82,0.82,0.82,0.81,0.82,0.82,0.82,0.81,0.83,0.85,0.87,0.87,0.88,0.88,0.90,0.87,0.87,0.88,0.89
,,,,,,,,,,,,,,,,,,,,,,,,,
W92000004,Wales,0.69,0.70,0.70,0.71,0.73,0.73,0.72,0.71,0.70,0.70,0.69,0.70,0.71,0.73,0.73,0.75,0.78,0.77,0.79,0.79,0.78,0.77,0.77,0.77
S92000003,Scotland,0.76,0.79,0.78,0.79,0.79,0.80,0.79,0.79,0.80,0.78,0.75,0.76,0.76,0.76,0.79,0.80,0.82,0.82,0.83,0.83,0.81,0.82,0.82,0.83
N92000002,Northern Ireland,0.72,0.72,0.73,0.74,0.74,0.75,0.75,0.74,0.75,0.72,0.74,0.72,0.71,0.71,0.72,0.73,0.75,0.75,0.76,0.78,0.78,0.75,0.79,-
E92000001,England,0.80,0.80,0.80,0.80,0.80,0.81,0.79,0.80,0.79,0.77,0.77,0.78,0.79,0.80,0.82,0.84,0.86,0.86,0.86,0.88,0.85,0.86,0.87,0.87
,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001,England and Wales,0.80,0.80,0.80,0.80,0.80,0.80,0.79,0.79,0.78,0.77,0.77,0.78,0.79,0.80,0.81,0.83,0.85,0.86,0.86,0.87,0.84,0.85,0.86,0.87
K03000001,Great Britain,0.79,0.80,0.80,0.80,0.80,0.80,0.79,0.79,0.79,0.77,0.77,0.78,0.78,0.79,0.81,0.83,0.85,0.86,0.86,0.87,0.84,0.85,0.86,0.86
K02000001,United Kingdom,0.79,0.79,0.79,0.80,0.80,0.80,0.79,0.79,0.78,0.77,0.76,0.78,0.78,0.79,0.81,0.83,0.85,0.85,0.85,0.87,0.84,0.85,0.86,-
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, ,,,,
